"","Country","Output","Industry","Top","Input","Correlation","Oppotunities","nombre clients corr","Rapport","tests input"
"1","France","ACTH","Prv","base","CORT","0.792738192396557","114","13","0.4029",196544
"2","France","ACTH","Prv","top1","RF-II","0.976863578673902","74","8","0.6074",139549
"3","France","ACTH","Prv","top2","Anti-TSHR","0.971930871368505","42","9","0.4934",116204
"4","France","ACTH","Prv","top3","Mg","0.968275848510301","166","9","0.2451",557797
"5","France","ACTH","Prv","top4","Beta-CrossLaps","0.96126190717826","38","12","0.5688",68386
"6","France","ACTH","Prv","top5","PTH","0.947194293916039","92","9","0.1432",272001
"7","France","AMH","Prv","base","FSH","0.748558309294899","136","27","0.2878",355657
"8","France","AMH","Prv","top1","Anti-TSHR","0.985623318183392","32","19","0.3733",116204
"9","France","AMH","Prv","top2","Li","0.945941616555063","52","14","1.0859",53431
"10","France","AMH","Prv","top3","Testosterone","0.937462713147681","75","25","0.4805",162878
"11","France","AMH","Prv","top4","Anti-TPO","0.936893766157056","88","20","0.2845",270260
"12","France","AMH","Prv","top5","Anti-TG","0.934007684194997","89","20","0.3486",226722
"13","France","Anti-TG","Prv","base","TSH","0.820293064497542","83","103","0.0336",8989417
"14","France","Anti-TG","Prv","top1","Anti-TPO","0.995376801448514","1","107","0.8391",270260
"15","France","Anti-TG","Prv","top2","PTH","0.94831946051446","29","72","0.5736",272001
"16","France","Anti-TG","Prv","top3","Anti-TSHR","0.946925272628825","12","39","1.3661",116204
"17","France","Anti-TG","Prv","top4","Testosterone","0.945375384136388","16","84","1.3647",162878
"18","France","Anti-TG","Prv","top5","Beta-CrossLaps","0.928934509383864","15","35","2.3213",68386
"19","France","Anti-TPO","Prv","base","TSH","0.828877302852968","83","103","0.0403",8989417
"20","France","Anti-TPO","Prv","top1","Anti-TG","0.995376801448514","2","107","1.1918",226722
"21","France","Anti-TPO","Prv","top2","Testosterone","0.958318685719282","16","84","1.6381",162878
"22","France","Anti-TPO","Prv","top3","PTH","0.953993958062623","29","72","0.673",272001
"23","France","Anti-TPO","Prv","top4","Anti-TSHR","0.949171896971733","12","39","1.6454",116204
"24","France","Anti-TPO","Prv","top5","Beta-CrossLaps","0.921524305741279","15","35","2.7615",68386
"25","France","Anti-TSHR","Prv","base","TSH","0.658102108744558","146","40","0.0287",8989417
"26","France","Anti-TSHR","Prv","top1","IgA","0.975631732871288","69","32","0.9997",183946
"27","France","Anti-TSHR","Prv","top2","IgM","0.974353784977912","70","32","1.2917",148183
"28","France","Anti-TSHR","Prv","top3","IgG","0.968569980277899","70","32","1.3046",150001
"29","France","Anti-TSHR","Prv","top4","Testosterone","0.949707569433466","61","39","1.076",162878
"30","France","Anti-TSHR","Prv","top5","Anti-TPO","0.949171896971733","69","39","0.6077",270260
"31","France","Beta-CrossLaps","Prv","base","Vit D Total","0.460107496385044","100","31","0.0951",1320702
"32","France","Beta-CrossLaps","Prv","top1","IgA","0.948313405401644","75","26","0.3889",183946
"33","France","Beta-CrossLaps","Prv","top2","IgM","0.947931241201844","76","26","0.4842",148183
"34","France","Beta-CrossLaps","Prv","top3","IgG","0.945244889129734","76","26","0.4958",150001
"35","France","Beta-CrossLaps","Prv","top4","Anti-TG","0.928934509383864","74","35","0.4308",226722
"36","France","Beta-CrossLaps","Prv","top5","Anti-TPO","0.921524305741279","73","35","0.3621",270260
"37","France","C-Peptide","Prv","base","CORT","0.656005915423919","119","8","0.2227",196544
"38","France","C-Peptide","Prv","top1","Anti-HAV IgM","0.941533710661286","99","8","0.5553",53420
"39","France","C-Peptide","Prv","top2","mALB","0.908736391984421","177","7","0.0298",1699155
"40","France","C-Peptide","Prv","top3","HCG+B","0.847160639457131","226","8","0.051",1170169
"41","France","C-Peptide","Prv","top4","FERR","0.839131478373987","182","8","0.0104",5834665
"42","France","C-Peptide","Prv","top5","FOLATE","0.838390898844717","123","8","0.038",969375
"43","France","Cyclosporine","Prv","base","PTH","0.965033476484879","97","4","0.0577",272001
"44","France","Cyclosporine","Prv","top1","LH","0.972672567797445","177","7","0.0757",416913
"45","France","Cyclosporine","Prv","top2","PRL","0.969603448484533","136","7","0.141",217074
"46","France","Cyclosporine","Prv","top3","E2","0.967722523142428","181","7","0.0675",470462
"47","France","Cyclosporine","Prv","top4","CA 15-3","0.955698876976997","129","7","0.157",259826
"48","France","Cyclosporine","Prv","top5","CA 125","0.955503605923996","125","7","0.2863",135192
"49","France","Cyfra 21-1","Prv","base","CA 15-3","0.71790433102628","130","6","0.1951",259826
"50","France","Cyfra 21-1","Prv","top1","Mg","0.813134015323963","168","7","0.1349",557797
"51","France","Cyfra 21-1","Prv","top2","CORT","0.764489735660053","120","7","0.3075",196544
"52","France","Cyfra 21-1","Prv","top3","AMYL","0.762460463338765","117","7","0.768",86800
"53","France","Cyfra 21-1","Prv","top4","TP","0.747138443732961","222","7","0.0159",4173905
"54","France","Cyfra 21-1","Prv","top5","PHOS","0.738582340156452","209","7","0.0576",1625872
"55","France","FPSA","Prv","base","PSA","0.858693188460381","11","154","0.1795",2438354
"56","France","FPSA","Prv","top1","FT4","0.922038680516564","19","153","0.2465",1796706
"57","France","FPSA","Prv","top2","TPLA","0.867612743923935","1","12","0.3896",66482
"58","France","FPSA","Prv","top3","Beta-CrossLaps","0.860331505530736","14","36","2.4775",68386
"59","France","FPSA","Prv","top4","PSA","0.858693188460381","11","154","0.1795",2438354
"60","France","FPSA","Prv","top5","FT3","0.854055179871037","14","147","0.5704",767440
